n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
8;16384;16384;estimate;par;11.3011;2.10081;9.20018;2.16548;2.42341;2.34882;2.26247;0.00945807;1.94665e+10;
8;16384;16384;estimate;par;11.2859;2.13298;9.15285;2.14065;2.3496;2.39615;2.26645;0.00922441;1.94665e+10;
8;16384;16384;estimate;par;11.2425;2.08284;9.15956;2.12914;2.3721;2.3635;2.29481;0.00929585;1.94665e+10;
8;16384;16384;estimate;par;11.6345;2.10926;9.52511;2.15298;2.38684;2.35788;2.62742;0.00922305;1.94665e+10;
8;16384;16384;estimate;par;11.5695;2.10405;9.46536;2.12925;2.6115;2.38979;2.33482;0.00938507;1.94665e+10;
8;16384;16384;estimate;par;11.5251;2.06993;9.45513;2.14319;2.63768;2.40565;2.26861;0.00932765;1.94665e+10;
8;16384;16384;estimate;par;11.2891;2.06061;9.2284;2.14759;2.37127;2.3603;2.34924;0.00929733;1.94665e+10;
8;16384;16384;estimate;par;11.7882;2.06335;9.72474;2.12208;2.34178;2.33876;2.92212;0.00930215;1.94665e+10;
8;16384;16384;estimate;par;11.2148;2.05997;9.15475;2.12687;2.3794;2.37524;2.27323;0.00941001;1.94665e+10;
8;16384;16384;estimate;par;11.4623;2.06421;9.39798;2.13834;2.6513;2.36902;2.23932;0.00940661;1.94665e+10;
8;16384;16384;estimate;par;11.4118;2.0883;9.32344;2.12185;2.51197;2.38232;2.3073;0.00931299;1.94665e+10;
8;16384;16384;estimate;par;11.2324;2.09003;9.14228;2.15224;2.32319;2.35082;2.31603;0.00937929;1.94665e+10;
8;16384;16384;estimate;par;11.4842;2.0926;9.3915;2.12752;2.56733;2.39051;2.30614;0.00935339;1.94665e+10;
8;16384;16384;estimate;par;11.6197;2.08761;9.532;2.14341;2.80661;2.34327;2.23872;0.00941369;1.94665e+10;
8;16384;16384;estimate;par;11.8982;2.0625;9.8356;2.13939;2.78617;2.38057;2.52947;0.00936145;1.94665e+10;
8;16384;16384;estimate;par;11.4994;2.1095;9.38982;2.13896;2.51335;2.41165;2.32586;0.00935667;1.94665e+10;
8;16384;16384;estimate;par;11.5667;2.09487;9.47177;2.15209;2.40215;2.33734;2.58019;0.00932869;1.94665e+10;
8;16384;16384;estimate;par;11.6957;2.11587;9.57973;2.14983;2.50249;2.39763;2.52978;0.00931799;1.94665e+10;
8;16384;16384;estimate;par;11.5476;2.04478;9.50273;2.10896;2.52266;2.37063;2.50049;0.00924069;1.94665e+10;
8;16384;16384;estimate;par;12.1934;2.10898;10.0843;2.14971;2.96331;2.3463;2.62502;0.00939181;1.94665e+10;
8;16384;16384;estimate;par;11.5442;2.114;9.43012;2.12133;2.35824;2.38358;2.56697;0.00935917;1.94665e+10;
8;16384;16384;estimate;par;11.3101;2.07818;9.23181;2.14304;2.38481;2.39921;2.30476;0.00922421;1.94665e+10;
8;16384;16384;estimate;par;11.9897;2.07603;9.91357;2.14849;3.15903;2.35697;2.24908;0.00927613;1.94665e+10;
8;16384;16384;estimate;par;11.1743;2.04951;9.12468;2.15044;2.36582;2.30606;2.30236;0.00938593;1.94665e+10;
